id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
6,1,1,1,https://130.whu.edu.cn,130.whu.edu.cn,1,"130.whu.edu.cn,130.whu.edu.cn","210.42.121.221,210.42.122.161","1,1",1,443,200,,武汉大学130周年校庆,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0","210.42.112.0/20,210.42.112.0/20","AS4538,AS4538","China Education and Research Network Center,China Education and Research Network Center","中国湖北省武汉市,中国湖北省武汉市","教育网,教育网",IP138Query
193,1,1,1,http://130.whu.edu.cn,130.whu.edu.cn,1,"130.whu.edu.cn,130.whu.edu.cn","210.42.121.221,210.42.122.161","1,1",1,80,200,,武汉大学130周年校庆,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0","210.42.112.0/20,210.42.112.0/20","AS4538,AS4538","China Education and Research Network Center,China Education and Research Network Center","中国湖北省武汉市,中国湖北省武汉市","教育网,教育网",IP138Query
828,1,1,1,https://19da.whu.edu.cn,19da.whu.edu.cn,1,19da.whu.edu.cn,202.114.64.221,1,1,443,200,OK,党代会专题网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1000,1,1,1,http://19da.whu.edu.cn,19da.whu.edu.cn,1,19da.whu.edu.cn,202.114.64.221,1,1,80,200,OK,党代会专题网,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
294,1,1,1,https://2fuxiao.whu.edu.cn,2fuxiao.whu.edu.cn,1,2fuxiao.whu.edu.cn,202.114.64.221,1,1,443,200,OK,武汉大学第二附属小学,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CertSpotterQuery
439,1,1,1,http://2fuxiao.whu.edu.cn,2fuxiao.whu.edu.cn,1,2fuxiao.whu.edu.cn,202.114.64.221,1,1,80,200,OK,武汉大学第二附属小学,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CertSpotterQuery
117,1,1,1,http://39history.whu.edu.cn,39history.whu.edu.cn,1,39history.whu.edu.cn,210.42.121.122,1,1,80,200,OK,武汉大学中国三至九世纪研究所,"**************,*******",210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,IP138Query
407,0,0,1,https://39history.whu.edu.cn,39history.whu.edu.cn,1,39history.whu.edu.cn,210.42.121.122,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='39history.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f0f9fc259d0>, 'Connection to 39history.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,IP138Query
1503,1,1,1,https://3s.whu.edu.cn,3s.whu.edu.cn,1,3s.whu.edu.cn,218.197.151.153,1,1,443,200,OK,时空数据智能获取技术与应用教育部工程中心,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CrtshQuery
1659,1,1,1,http://3s.whu.edu.cn,3s.whu.edu.cn,1,3s.whu.edu.cn,218.197.151.153,1,1,80,200,OK,时空数据智能获取技术与应用教育部工程中心,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CrtshQuery
1465,1,1,1,https://5zqh.whu.edu.cn,5zqh.whu.edu.cn,1,5zqh.whu.edu.cn,218.197.151.153,1,1,443,200,OK,学习宣传贯彻十八届五中全会精神,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,BaiduSearch
1617,1,1,1,http://5zqh.whu.edu.cn,5zqh.whu.edu.cn,1,5zqh.whu.edu.cn,218.197.151.153,1,1,80,200,OK,学习宣传贯彻十八届五中全会精神,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,BaiduSearch
1275,0,0,1,https://9thasceewri.whu.edu.cn,9thasceewri.whu.edu.cn,1,9thasceewri.whu.edu.cn,210.42.122.166,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='9thasceewri.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e3c2d1150>: Failed to establish a new connection: [Errno 101] Network is unreachable'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1276,1,1,1,http://9thasceewri.whu.edu.cn,9thasceewri.whu.edu.cn,1,9thasceewri.whu.edu.cn,210.42.122.166,1,1,80,404,Not Found,None,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,RapidDNSQuery
1805,1,1,1,http://aais.whu.edu.cn,aais.whu.edu.cn,1,aais.whu.edu.cn,202.114.64.221,1,1,80,200,OK,武汉大学前沿交叉学科研究院,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Brute
1810,1,1,1,https://aais.whu.edu.cn,aais.whu.edu.cn,1,aais.whu.edu.cn,202.114.64.221,1,1,443,200,OK,武汉大学前沿交叉学科研究院,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Brute
2100,0,1,1,https://abyu.users.sgg.whu.edu.cn,abyu.users.sgg.whu.edu.cn,5,abyu.users.sgg.whu.edu.cn,202.114.120.1,1,0,443,502,Bad Gateway,502 Bad Gateway,nginx/1.20.1,202.114.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Finder
2229,1,1,1,http://abyu.users.sgg.whu.edu.cn,abyu.users.sgg.whu.edu.cn,5,abyu.users.sgg.whu.edu.cn,202.114.120.1,1,1,80,200,OK,测绘学院教职员工数据库,"nginx,PHP/7.3.11",202.114.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Finder
1832,1,1,1,http://access.whu.edu.cn,access.whu.edu.cn,1,access.whu.edu.cn,202.114.64.39,1,0,80,200,OK,'',Apache,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Brute
1888,1,1,1,https://access.whu.edu.cn,access.whu.edu.cn,1,access.whu.edu.cn,202.114.64.39,1,1,443,200,OK,PLDSEC Core4A-UTM,Apache,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Brute
867,0,0,1,http://acm.whu.edu.cn,acm.whu.edu.cn,1,acm.whu.edu.cn,210.42.123.7,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='acm.whu.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0f38674410>, 'Connection to acm.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
868,0,0,1,https://acm.whu.edu.cn,acm.whu.edu.cn,1,acm.whu.edu.cn,210.42.123.7,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='acm.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f0f38501dd0>, 'Connection to acm.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
1902,0,0,1,http://activate.whu.edu.cn,activate.whu.edu.cn,1,activate.whu.edu.cn,210.42.121.78,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='activate.whu.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0d9c6cd250>, 'Connection to activate.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Brute
1903,0,0,1,https://activate.whu.edu.cn,activate.whu.edu.cn,1,activate.whu.edu.cn,210.42.121.78,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='activate.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f0dbc146f90>, 'Connection to activate.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Brute
397,1,1,1,https://adbjh.whu.edu.cn,adbjh.whu.edu.cn,1,adbjh.whu.edu.cn,210.42.122.98,1,1,443,200,OK,统一身份认证,openresty,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CertSpotterQuery
548,0,0,1,http://adbjh.whu.edu.cn,adbjh.whu.edu.cn,1,adbjh.whu.edu.cn,210.42.122.98,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='adbjh.whu.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f0f783d3250>, 'Connection to adbjh.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,CertSpotterQuery
482,1,1,1,http://admission.whu.edu.cn,admission.whu.edu.cn,1,admission.whu.edu.cn,202.114.64.221,1,0,80,200,OK,国际教育学院,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
489,1,1,1,https://admission.whu.edu.cn,admission.whu.edu.cn,1,admission.whu.edu.cn,202.114.64.221,1,0,443,200,OK,国际教育学院,none,202.114.64.0/22,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
1717,1,1,1,https://aec.whu.edu.cn,aec.whu.edu.cn,1,aec.whu.edu.cn,218.197.151.153,1,1,443,200,OK,Advanced Energy Conversion Research Lab,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Brute
1849,1,1,1,http://aec.whu.edu.cn,aec.whu.edu.cn,1,aec.whu.edu.cn,218.197.151.153,1,1,80,200,OK,Advanced Energy Conversion Research Lab,"WHU-AppSrv 1.0.0,WHU-AppSrv 1.0.0",218.197.144.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,Brute
497,1,1,1,http://aff.whu.edu.cn,aff.whu.edu.cn,1,aff.whu.edu.cn,210.42.121.122,1,1,80,404,Not Found,None,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
840,0,0,1,https://aff.whu.edu.cn,aff.whu.edu.cn,1,aff.whu.edu.cn,210.42.121.122,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='aff.whu.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f0f3838a710>, 'Connection to aff.whu.edu.cn timed out. (connect timeout=13)'))""),)",,,210.42.112.0/20,AS4538,China Education and Research Network Center,中国湖北省武汉市,教育网,SiteDossierQuery
